Area,Location description,Street Address,Cross Street,Originallistprice,Listpriceatsale,Closeprice,Close Date,Closemonth,Closeyear,DOM,Beds,Baths Total,Baths Full,Baths Half,Homesqft,Lotsqft,Garage,Garage Style,View,View Description
144, Southeast Carmel,0 VIZCAINO 11 SW MOUNTAIN VIEW,Mountain View," 2,150,000 "," 2,150,000 "," 2,080,000 ",5/23/14, 5.00 ,2014,37,3,3,3,0,2235,5498,1,"Detached,Guest / Visitor Parking",Yes,Local/Neighborhood
144, Southeast Carmel,0 CRESPI 1 SE OF MOUNTAIN VIEW,Mountain View," 2,295,000 "," 2,295,000 "," 2,110,000 ",3/27/15, 3.00 ,2015,113,3,2,2,0,1906,6635,1,"Detached,Gate/Door Opener,Off-Street Parking",Yes,Canyon
145, Carmel Point,2696 SANTA LUCIA Avenue,Camino Real," 1,585,000 "," 1,585,000 "," 1,350,000 ",2/26/14, 2.00 ,2014,186,3,3,3,0,1865,6000,1,Off-Street Parking,--,--
145, Carmel Point,2658 15TH Avenue,CAMINO REAL," 1,650,000 "," 1,650,000 "," 1,425,000 ",9/5/14, 9.00 ,2014,12,5,3,3,0,2835,6700,2,"Gate/Door Opener,Off-Street Parking",Yes,Mountains
145, Carmel Point,2479 17TH Avenue,Vally View," 1,550,000 "," 1,550,000 "," 1,485,000 ",3/17/14, 3.00 ,2014,0,3,2,2,0,1938,4000,1,Gate/Door Opener,Yes,Local/Neighborhood
145, Carmel Point,2789 14TH Avenue,Monte Verde," 1,625,000 "," 1,625,000 "," 1,525,000 ",6/19/14, 6.00 ,2014,41,4,3,3,0,2386,6300,2,--,Yes,"Local/Neighborhood,Ocean"
145, Carmel Point,2779 15th Avenue,--," 1,995,000 "," 1,995,000 "," 1,925,000 ",5/27/15, 5.00 ,2015,0,3,2.1,2,1,2810,6000,1,Gate/Door Opener,--,--
145, Carmel Point,2486 17TH Avenue,Rio Avenue," 2,395,000 "," 2,295,000 "," 2,050,000 ",10/14/14, 10.00 ,2014,240,3,2.2,2,2,2318,4600,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,Local/Neighborhood
145, Carmel Point,26259 Hilltop Place,San Antonio," 2,248,000 "," 2,150,000 "," 2,095,000 ",7/24/15, 7.00 ,2015,74,3,2.1,2,1,1761,3758,1,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,"Bay,Ocean"
145, Carmel Point,26334 RIVER PARK Place,16 TH Avenue," 2,150,000 "," 2,150,000 "," 2,100,000 ",4/15/14, 4.00 ,2014,41,3,3,3,0,1746,6000,1,"Gate/Door Opener,Off-Street Parking,Electric Car Hookup",Yes,"Mountains,Local/Neighborhood"
145, Carmel Point,26270 VALLEY VIEW Avenue,16th Ave," 2,350,000 "," 2,350,000 "," 2,150,000 ",11/4/13, 11.00 ,2013,42,3,3,3,0,1596,3920,1,--,Yes,Valley
145, Carmel Point,26269 OCEAN VIEW Avenue,Stewart/ Bay View," 2,595,000 "," 2,295,000 "," 2,150,000 ",6/3/14, 6.00 ,2014,309,3,3,3,0,1775,4300,2,Off-Street Parking,Yes,"Bay,Ocean"
145, Carmel Point,26255 Dolores Street,15th Avenue," 2,250,000 "," 2,150,000 "," 2,150,000 ",10/9/15, 10.00 ,2015,167,2,2,2,--,1300,10300,1,"Guest / Visitor Parking,Off-Street Parking,Parking Area",Yes,"Forest/Woods,Mountains,Ocean"
145, Carmel Point,26416 CARMELO Street,17th," 2,250,000 "," 2,250,000 "," 2,190,000 ",10/1/14, 10.00 ,2014,8,3,3,3,0,2105,4220,1,"Guest / Visitor Parking,Off-Street Parking",Yes,"Garden/Greenbelt,Mountains"
147, Hatton Fields,25995 Junipero Avenue,Ridgewood," 1,189,000 "," 1,189,000 "," 1,204,000 ",4/23/15, 4.00 ,2015,24,4,3.1,3,1,2627,6600,2,--,--,--
147, Hatton Fields,3662 LAZARRO Drive,Mesa Place," 1,250,000 "," 1,250,000 "," 1,225,000 ",8/14/14, 8.00 ,2014,24,3,2,2,0,1651,15500,2,--,Yes,"Mountains,Valley"
147, Hatton Fields,26105 DICHRO Drive,Mesa," 1,490,000 "," 1,395,000 "," 1,276,700 ",2/28/14, 2.00 ,2014,123,3,2.1,2,1,2549,9400,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",--,--
147, Hatton Fields,26186 Mesa Drive,Atherton," 1,395,000 "," 1,395,000 "," 1,300,000 ",7/6/15, 7.00 ,2015,47,2,3,3,--,1982,10800,2,--,--,--
147, Hatton Fields,26062 MESA Drive,Taylor," 1,539,000 "," 1,395,000 "," 1,325,000 ",11/8/13, 11.00 ,2013,122,2,2,2,0,1767,9700,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,Local/Neighborhood
147, Hatton Fields,25850 N Mesa Drive,Hatton Road," 1,450,000 "," 1,450,000 "," 1,368,000 ",10/13/15, 10.00 ,2015,66,4,4.1,4,1,4064,36200,2,--,Yes,Forest/Woods
147, Hatton Fields,25393 HATTON Road,Ocean Ave.," 1,750,000 "," 1,475,000 "," 1,390,000 ",5/6/15, 5.00 ,2015,130,5,4,4,0,3771,20200,2,Off-Street Parking,Yes,Local/Neighborhood
147, Hatton Fields,3407 7TH Avenue,Hatton Rd.," 1,849,000 "," 1,595,000 "," 1,500,000 ",1/5/15, 1.00 ,2015,249,3,4,4,0,2890,15900,3,--,--,--
147, Hatton Fields,25690 HATTON Road,Mountain View," 1,895,000 "," 1,600,000 "," 1,600,000 ",12/20/13, 12.00 ,2013,152,5,4,4,0,3173,31300,2,Gate/Door Opener,Yes,Local/Neighborhood
147, Hatton Fields,26056 MESA Drive,Atherton," 1,695,000 "," 1,695,000 "," 1,612,500 ",2/28/14, 2.00 ,2014,11,3,3,3,0,3367,--,2,--,--,--
147, Hatton Fields,24993 HATTON Road,3rd," 1,950,000 "," 1,695,000 "," 1,615,000 ",7/28/14, 7.00 ,2014,106,4,4.1,4,1,4317,13600,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,Local/Neighborhood
147, Hatton Fields,3385 MARTIN Road,Hatton," 1,649,000 "," 1,649,000 "," 1,625,000 ",11/15/13, 11.00 ,2013,5,4,3,3,0,3280,23086.8,2,--,Yes,Mountains
147, Hatton Fields,26230 Mesa Drive,Trevis," 1,695,000 "," 1,695,000 "," 1,655,600 ",4/14/15, 4.00 ,2015,5,4,3.1,3,1,3025,14800,2,"Gate/Door Opener,Off-Street Parking",Yes,"Mountains,Ocean"
147, Hatton Fields,25259 RANDALL Way,Ocean Avenue," 1,995,000 "," 1,850,000 "," 1,745,000 ",11/26/14, 11.00 ,2014,152,5,4,4,0,3089,11250,2,"Gate/Door Opener,Off-Street Parking",--,--
147, Hatton Fields,3496 TAYLOR Road,Atherton," 1,795,000 "," 1,795,000 "," 1,745,000 ",6/30/14, 6.00 ,2014,15,4,3,3,0,3323,11500,--,--,Yes,Valley
147, Hatton Fields,24936 VALLEY Way,Carpenter," 1,895,000 "," 1,895,000 "," 1,745,000 ",6/11/14, 6.00 ,2014,60,4,2.1,2,1,2426,10400,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking,RV/Boat Parking",Yes,Local/Neighborhood
147, Hatton Fields,26183 Mesa Drive,Atherton," 1,895,000 "," 1,895,000 "," 1,790,000 ",6/4/15, 6.00 ,2015,0,5,3,3,--,2436,12700,2,"Detached,Guest / Visitor Parking",--,--
147, Hatton Fields,25515 HATTON Road,Shafter," 1,895,000 "," 1,895,000 "," 1,800,000 ",5/19/14, 5.00 ,2014,26,3,4.1,4,1,2785,23700,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,Local/Neighborhood
147, Hatton Fields,26219 ATHERTON Place,Atherton," 2,449,000 "," 2,349,000 "," 1,939,690 ",2/20/14, 2.00 ,2014,76,4,4,4,0,4193,11600,2,Off-Street Parking,Yes,"Mountains,Local/Neighborhood,Ocean,Valley"
147, Hatton Fields,26157 ATHERTON Drive,Taylor," 2,350,000 "," 2,150,000 "," 1,950,000 ",8/7/14, 8.00 ,2014,392,4,3.1,3,1,3528,9800,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,Local/Neighborhood
147, Hatton Fields,26123 MESA Drive,Dichro," 2,195,000 "," 2,100,000 "," 2,075,000 ",10/1/14, 10.00 ,2014,137,4,3,3,0,3562,12100,2,--,--,--
147, Hatton Fields,3452 LAZARRO Drive,Atherton Dr.," 2,699,000 "," 2,499,000 "," 2,150,000 ",9/16/14, 9.00 ,2014,392,4,4,4,0,3696,12250,2,"Gate/Door Opener,Off-Street Parking",Yes,"Bay,Mountains"
147, Hatton Fields,3232 TAYLOR Road,Mesa Drive," 2,395,000 "," 2,395,000 "," 2,175,000 ",7/16/14, 7.00 ,2014,65,4,4.1,4,1,4081,20647,3,Detached,Yes,"Mountains,Valley"
149, High Meadows,3560 EDGEFIELD Place,Outlook," 1,249,000 "," 1,249,000 "," 1,200,000 ",12/23/14, 12.00 ,2014,24,4,3.1,3,1,3141,11173,2,Off-Street Parking,Yes,"Bay,Garden/Greenbelt,Mountains,Canyon,Ocean,Valley,City Lights"
149, High Meadows,3622 EASTFIELD Road,Outlook Drive," 1,425,000 "," 1,425,000 "," 1,316,500 ",11/7/14, 11.00 ,2014,6,3,2.1,2,1,3118,12525,2,Gate/Door Opener,Yes,Local/Neighborhood
149, High Meadows,3538 GREENFIELD Place,Outlook," 1,595,000 "," 1,525,000 "," 1,450,000 ",7/25/14, 7.00 ,2014,92,4,3.1,3,1,2671,9583,2,Gate/Door Opener,Yes,"Mountains,Ocean"
149, High Meadows,3930 Via Mar Monte,High Meadow (Street name is Carpenter on the West," 2,100,000 "," 1,950,000 "," 1,895,000 ",8/21/15, 8.00 ,2015,173,6,4.1,4,1,4564,43560,3,Enclosed,Yes,Ocean
149, High Meadows,3910 Via Mar Monte,Carpenter," 1,998,000 "," 1,949,000 "," 1,895,000 ",11/2/15, 11.00 ,2015,202,5,5.1,5,1,5200,60113,3,"Electric Gate,Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking,Parking Area",Yes,Mountains
150, Jacks Peak,509 LOMA ALTA Road,Aguajito," 1,695,000 "," 1,297,000 "," 1,300,000 ",10/30/14, 10.00 ,2014,390,4,4,4,0,3292,252648,2,--,Yes,"Bay,Ocean"
150, Jacks Peak,24704 AGUAJITO Road,Valenzuela Road," 1,795,000 "," 1,734,000 "," 1,500,000 ",2/12/15, 2.00 ,2015,263,3,3,3,0,2902,221720,3,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking,RV/Boat Parking",Yes,"Canyon,Valley,City Lights"
150, Jacks Peak,550 AGUAJITO Road,Paseo Venado," 2,650,000 "," 2,350,000 "," 1,875,000 ",5/22/14, 5.00 ,2014,306,3,2,2,0,1704,283140,--,"Guest / Visitor Parking,Off-Street Parking",Yes,Valley
150, Jacks Peak,24105 FAIRFIELD Place,Paso Venado," 2,875,000 "," 2,299,000 "," 2,150,000 ",6/3/14, 6.00 ,2014,535,5,4.1,4,1,4366,222470,3,"Detached,Gate/Door Opener,Guest / Visitor Parking,RV/Boat Parking",Yes,"Bay,Mountains,City Lights"
151, Carmel Meadows,2915 RIBERA Road,Mariposa Court," 1,625,000 "," 1,495,000 "," 1,325,000 ",8/5/14, 8.00 ,2014,140,4,3,3,0,2272,8700,2,Gate/Door Opener,Yes,"Garden/Greenbelt,Mountains,Valley"
151, Carmel Meadows,2927 HILLCREST Circle,Cuesta Way," 2,195,000 "," 1,675,000 "," 1,515,000 ",6/30/14, 6.00 ,2014,435,3,4,4,0,3326,22200,2,--,Yes,"Bay,Mountains,Canyon,Local/Neighborhood,Ocean,Valley,City Lights"
151, Carmel Meadows,2925 Ribera Road,Highway 1," 1,695,000 "," 1,695,000 "," 1,588,000 ",9/9/15, 9.00 ,2015,58,4,3,3,--,2824,9600,2,--,Yes,"Greenbelt,Mountains,Panoramic,Pasture,Valley"
151, Carmel Meadows,2919 HILLCREST Circle,Cuesta," 1,690,000 "," 1,690,000 "," 1,600,000 ",7/8/14, 7.00 ,2014,43,3,2.1,2,1,2530,10200,2,--,Yes,"Bay,Mountains,Ocean"
151, Carmel Meadows,2730 RIBERA Road,Calle La Cruz," 1,695,000 "," 1,695,000 "," 1,625,000 ",2/28/14, 2.00 ,2014,195,4,2.1,2,1,2416,12197,2,--,Yes,Ocean
151, Carmel Meadows,2845 RIBERA Road,Meadow Way," 1,895,000 "," 1,895,000 "," 1,800,000 ",11/21/14, 11.00 ,2014,4,3,2,2,0,2381,6728,1,"Guest / Visitor Parking,Off-Street Parking",Yes,"Mountains,Local/Neighborhood,Valley"
151, Carmel Meadows,2804 Pradera,Meadow," 2,050,000 "," 2,050,000 "," 1,990,000 ",6/29/15, 6.00 ,2015,12,3,2.1,2,1,2856,8600,2,Guest / Visitor Parking,Yes,Ocean
151, Carmel Meadows,2727 PRADERA Road,Ribera," 2,895,000 "," 2,295,000 "," 2,150,000 ",3/18/15, 3.00 ,2015,358,3,3,3,0,2900,11700,2,"Guest / Visitor Parking,Off-Street Parking",Yes,"Mountains,Ocean"
160, Carmel Views / Rancho Rio Vista,25950 CARMEL KNOLLS Drive,Dougherty," 1,249,000 "," 1,249,000 "," 1,237,000 ",10/21/14, 10.00 ,2014,32,4,3,3,0,3379,14066,2,"Guest / Visitor Parking,Off-Street Parking",Yes,"Mountains,Valley"
160, Carmel Views / Rancho Rio Vista,25482 CARMEL KNOLLS Drive,Carmel Valley Rd.," 1,449,000 "," 1,349,000 "," 1,253,000 ",3/13/15, 3.00 ,2015,175,3,3.1,3,1,3227,16988,2,Detached,Yes,"Garden/Greenbelt,Local/Neighborhood"
160, Carmel Views / Rancho Rio Vista,24925 Pine Hills Drive,Outlook Dr.," 1,499,000 "," 1,399,000 "," 1,315,000 ",10/30/15, 10.00 ,2015,39,4,3.1,3,1,3286,25265,2,Guest / Visitor Parking,Yes,Garden/Greenbelt
160, Carmel Views / Rancho Rio Vista,25910 CANADA Drive,Rio Vista," 1,495,000 "," 1,395,000 "," 1,325,000 ",12/13/13, 12.00 ,2013,100,4,3,3,0,3140,45302,3,"Gate/Door Opener,Off-Street Parking",Yes,"Mountains,Local/Neighborhood,Valley"
160, Carmel Views / Rancho Rio Vista,24953 OUTLOOK Lane,Outlook Dr.," 1,550,000 "," 1,550,000 "," 1,455,000 ",11/7/14, 11.00 ,2014,57,4,3,3,0,3313,28750,2,"Gate/Door Opener,Guest / Visitor Parking",Yes,"Bay,Mountains,Local/Neighborhood,Ocean,Valley"
160, Carmel Views / Rancho Rio Vista,24930 OUTLOOK Drive,Canada Dr.," 1,595,000 "," 1,595,000 "," 1,475,000 ",3/18/15, 3.00 ,2015,191,4,3,3,0,3759,25762,2,"Guest / Visitor Parking,Off-Street Parking",Yes,"Local/Neighborhood,Ocean"
160, Carmel Views / Rancho Rio Vista,24833 OUTLOOK Court,Outlook Drive," 1,499,000 "," 1,499,000 "," 1,477,500 ",12/20/13, 12.00 ,2013,35,3,3.1,3,1,3157,20761,2,--,Yes,"Mountains,Canyon,Local/Neighborhood,Ocean,City Lights"
160, Carmel Views / Rancho Rio Vista,25200 PINE HILLS Drive,Outlook Drive," 1,595,000 "," 1,595,000 "," 1,540,000 ",5/15/14, 5.00 ,2014,7,3,3.1,3,1,2947,19525,2,"Gate/Door Opener,Guest / Visitor Parking,Off-Street Parking",Yes,"Bay,Mountains,Canyon,Local/Neighborhood,Ocean,Valley"
160, Carmel Views / Rancho Rio Vista,24690 OUTLOOK Drive,Canada Drive," 1,649,000 "," 1,649,000 "," 1,575,000 ",2/28/14, 2.00 ,2014,48,3,3.1,3,1,3836,25839,--,"Gate/Door Opener,Guest / Visitor Parking",Yes,"Mountains,Ocean"
160, Carmel Views / Rancho Rio Vista,4105 SEGUNDA Drive,Rio Vista," 1,595,000 "," 1,595,000 "," 1,595,000 ",6/6/14, 6.00 ,2014,8,3,4.1,4,1,3511,47916,2,Off-Street Parking,Yes,Mountains
160, Carmel Views / Rancho Rio Vista,24895 OUTLOOK Drive,Canada Drive," 1,885,000 "," 1,885,000 "," 1,675,000 ",9/23/14, 9.00 ,2014,9,5,4,4,0,4735,21344,3,"Guest / Visitor Parking,Off-Street Parking",Yes,"Bay,Mountains,Ocean"
167, Carmel Valley Ranch,9661 Willow Court,--," 1,279,000 "," 1,279,000 "," 1,240,000 ",4/3/15, 4.00 ,2015,2,3,2.1,2,1,2416,5028,2,"Detached,Guest / Visitor Parking",Yes,"Garden/Greenbelt,Golf Course,Mountains"
167, Carmel Valley Ranch,10435 Fairway Lane,Old Ranch Road," 1,349,000 "," 1,325,000 "," 1,260,000 ",10/9/15, 10.00 ,2015,141,3,2.1,2,1,2746,4789,2,"Gate/Door Opener,Guest / Visitor Parking",Yes,"Golf Course,Hills,Panoramic,Valley"
167, Carmel Valley Ranch,28052 Hawk Court,--," 1,375,000 "," 1,375,000 "," 1,350,000 ",7/23/15, 7.00 ,2015,32,3,3.1,3,1,2348,3656,2,Detached,Yes,"Golf Course,Mountains,Valley"
167, Carmel Valley Ranch,27173 Prado Del Sol,Carmel Valley Rd.," 1,595,000 "," 1,395,000 "," 1,350,000 ",10/19/15, 10.00 ,2015,106,4,2.1,2,1,2681,56628,3,--,--,--
167, Carmel Valley Ranch,10124 Oakwood Circle,Oakshire / Old Ranch," 1,495,000 "," 1,495,000 "," 1,500,000 ",5/22/15, 5.00 ,2015,7,4,4.1,4,1,3647,4356,2,Detached,Yes,"Golf Course,Hills,Valley"
167, Carmel Valley Ranch,9935 Holt Road,Robinson Canyon," 1,650,000 "," 1,595,000 "," 1,575,000 ",8/7/15, 8.00 ,2015,112,4,3.1,3,1,3648,30492,2,"Electric Gate,Gate/Door Opener",Yes,"Golf Course,Hills,Valley"
